"variable","t","value","Scenario","Scen_Deposit","name"
"demand_unmet",2030,0,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling","Base","(9) Enhanced Recycling"
"demand_unmet",2031,0,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling","Base","(9) Enhanced Recycling"
"demand_unmet",2032,0,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling","Base","(9) Enhanced Recycling"
"demand_unmet",2033,0,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling","Base","(9) Enhanced Recycling"
"demand_unmet",2034,0,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling","Base","(9) Enhanced Recycling"
"demand_unmet",2035,0,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling","Base","(9) Enhanced Recycling"
"demand_unmet",2036,0,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling","Base","(9) Enhanced Recycling"
"demand_unmet",2037,0,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling","Base","(9) Enhanced Recycling"
"demand_unmet",2038,0,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling","Base","(9) Enhanced Recycling"
"demand_unmet",2039,0,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling","Base","(9) Enhanced Recycling"
"demand_unmet",2040,0,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling","Base","(9) Enhanced Recycling"
"demand_unmet",2041,0,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling","Base","(9) Enhanced Recycling"
"demand_unmet",2042,1.50511387819651,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling","Base","(9) Enhanced Recycling"
"demand_unmet",2043,3.84911430606275,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling","Base","(9) Enhanced Recycling"
"demand_unmet",2044,5.85386400129715,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling","Base","(9) Enhanced Recycling"
"demand_unmet",2045,2.58333714674902,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling","Base","(9) Enhanced Recycling"
"demand_unmet",2046,0,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling","Base","(9) Enhanced Recycling"
"demand_unmet",2047,0,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling","Base","(9) Enhanced Recycling"
"demand_unmet",2048,0,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling","Base","(9) Enhanced Recycling"
"demand_unmet",2049,0,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling","Base","(9) Enhanced Recycling"
"demand_unmet",2050,0,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling","Base","(9) Enhanced Recycling"
"demand_unmet",2051,0,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling","Base","(9) Enhanced Recycling"
"demand_unmet",2052,0,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling","Base","(9) Enhanced Recycling"
"demand_unmet",2053,0,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling","Base","(9) Enhanced Recycling"
"demand_unmet",2054,0,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling","Base","(9) Enhanced Recycling"
"demand_unmet",2055,0,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling","Base","(9) Enhanced Recycling"
"demand_unmet",2056,0,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling","Base","(9) Enhanced Recycling"
"demand_unmet",2057,0,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling","Base","(9) Enhanced Recycling"
"demand_unmet",2058,0,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling","Base","(9) Enhanced Recycling"
"demand_unmet",2059,0,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling","Base","(9) Enhanced Recycling"
"demand_unmet",2060,0,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling","Base","(9) Enhanced Recycling"
"demand_unmet",2061,0,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling","Base","(9) Enhanced Recycling"
"demand_unmet",2062,0,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling","Base","(9) Enhanced Recycling"
"demand_unmet",2063,0,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling","Base","(9) Enhanced Recycling"
"demand_unmet",2064,0,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling","Base","(9) Enhanced Recycling"
"demand_unmet",2065,0,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling","Base","(9) Enhanced Recycling"
"demand_unmet",2066,0,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling","Base","(9) Enhanced Recycling"
"demand_unmet",2067,0,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling","Base","(9) Enhanced Recycling"
"demand_unmet",2068,0,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling","Base","(9) Enhanced Recycling"
"demand_unmet",2069,0,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling","Base","(9) Enhanced Recycling"
"demand_unmet",2070,0,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling","Base","(9) Enhanced Recycling"
"demand_unmet",2022,0,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","Base","(8) Enhanced Repurposing"
"demand_unmet",2023,0,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","Base","(8) Enhanced Repurposing"
"demand_unmet",2024,0,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","Base","(8) Enhanced Repurposing"
"demand_unmet",2025,0,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","Base","(8) Enhanced Repurposing"
"demand_unmet",2026,0,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","Base","(8) Enhanced Repurposing"
"demand_unmet",2027,0,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","Base","(8) Enhanced Repurposing"
"demand_unmet",2028,0,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","Base","(8) Enhanced Repurposing"
"demand_unmet",2029,0,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","Base","(8) Enhanced Repurposing"
"demand_unmet",2030,0,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","Base","(8) Enhanced Repurposing"
"demand_unmet",2031,0,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","Base","(8) Enhanced Repurposing"
"demand_unmet",2032,0,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","Base","(8) Enhanced Repurposing"
"demand_unmet",2033,0,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","Base","(8) Enhanced Repurposing"
"demand_unmet",2034,0,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","Base","(8) Enhanced Repurposing"
"demand_unmet",2035,0,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","Base","(8) Enhanced Repurposing"
"demand_unmet",2036,0,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","Base","(8) Enhanced Repurposing"
"demand_unmet",2037,0,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","Base","(8) Enhanced Repurposing"
"demand_unmet",2038,0,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","Base","(8) Enhanced Repurposing"
"demand_unmet",2039,0,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","Base","(8) Enhanced Repurposing"
"demand_unmet",2040,0,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","Base","(8) Enhanced Repurposing"
"demand_unmet",2041,0,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","Base","(8) Enhanced Repurposing"
"demand_unmet",2042,0,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","Base","(8) Enhanced Repurposing"
"demand_unmet",2043,0,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","Base","(8) Enhanced Repurposing"
"demand_unmet",2044,0,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","Base","(8) Enhanced Repurposing"
"demand_unmet",2045,0,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","Base","(8) Enhanced Repurposing"
"demand_unmet",2046,0,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","Base","(8) Enhanced Repurposing"
"demand_unmet",2047,0,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","Base","(8) Enhanced Repurposing"
"demand_unmet",2048,0,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","Base","(8) Enhanced Repurposing"
"demand_unmet",2049,0,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","Base","(8) Enhanced Repurposing"
"demand_unmet",2050,0,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","Base","(8) Enhanced Repurposing"
"demand_unmet",2051,0,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","Base","(8) Enhanced Repurposing"
"demand_unmet",2052,0,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","Base","(8) Enhanced Repurposing"
"demand_unmet",2053,0,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","Base","(8) Enhanced Repurposing"
"demand_unmet",2054,0,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","Base","(8) Enhanced Repurposing"
"demand_unmet",2055,0,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","Base","(8) Enhanced Repurposing"
"demand_unmet",2056,0,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","Base","(8) Enhanced Repurposing"
"demand_unmet",2057,0,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","Base","(8) Enhanced Repurposing"
"demand_unmet",2058,0,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","Base","(8) Enhanced Repurposing"
"demand_unmet",2059,0,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","Base","(8) Enhanced Repurposing"
"demand_unmet",2060,0,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","Base","(8) Enhanced Repurposing"
"demand_unmet",2061,0,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","Base","(8) Enhanced Repurposing"
"demand_unmet",2062,0,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","Base","(8) Enhanced Repurposing"
"demand_unmet",2063,0,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","Base","(8) Enhanced Repurposing"
"demand_unmet",2064,1.92285312798881,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","Base","(8) Enhanced Repurposing"
"demand_unmet",2065,14.2537257733176,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","Base","(8) Enhanced Repurposing"
"demand_unmet",2066,39.0786472689836,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","Base","(8) Enhanced Repurposing"
"demand_unmet",2067,79.9434019481981,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","Base","(8) Enhanced Repurposing"
"demand_unmet",2068,132.246161120042,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","Base","(8) Enhanced Repurposing"
"demand_unmet",2069,196.521920066827,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","Base","(8) Enhanced Repurposing"
"demand_unmet",2070,285.393684013007,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","Base","(8) Enhanced Repurposing"
"demand_unmet",2022,0,"Ambitious-Baseline-Baseline-Baseline-USA Recycling","Base","(10) US Recycling"
"demand_unmet",2023,0,"Ambitious-Baseline-Baseline-Baseline-USA Recycling","Base","(10) US Recycling"
"demand_unmet",2024,0,"Ambitious-Baseline-Baseline-Baseline-USA Recycling","Base","(10) US Recycling"
"demand_unmet",2025,0,"Ambitious-Baseline-Baseline-Baseline-USA Recycling","Base","(10) US Recycling"
"demand_unmet",2026,0,"Ambitious-Baseline-Baseline-Baseline-USA Recycling","Base","(10) US Recycling"
"demand_unmet",2027,0,"Ambitious-Baseline-Baseline-Baseline-USA Recycling","Base","(10) US Recycling"
"demand_unmet",2028,0,"Ambitious-Baseline-Baseline-Baseline-USA Recycling","Base","(10) US Recycling"
"demand_unmet",2029,0,"Ambitious-Baseline-Baseline-Baseline-USA Recycling","Base","(10) US Recycling"
"demand_unmet",2030,0,"Ambitious-Baseline-Baseline-Baseline-USA Recycling","Base","(10) US Recycling"
"demand_unmet",2031,0,"Ambitious-Baseline-Baseline-Baseline-USA Recycling","Base","(10) US Recycling"
"demand_unmet",2032,0,"Ambitious-Baseline-Baseline-Baseline-USA Recycling","Base","(10) US Recycling"
"demand_unmet",2033,0,"Ambitious-Baseline-Baseline-Baseline-USA Recycling","Base","(10) US Recycling"
"demand_unmet",2034,0,"Ambitious-Baseline-Baseline-Baseline-USA Recycling","Base","(10) US Recycling"
"demand_unmet",2035,0,"Ambitious-Baseline-Baseline-Baseline-USA Recycling","Base","(10) US Recycling"
"demand_unmet",2036,0,"Ambitious-Baseline-Baseline-Baseline-USA Recycling","Base","(10) US Recycling"
"demand_unmet",2037,0,"Ambitious-Baseline-Baseline-Baseline-USA Recycling","Base","(10) US Recycling"
"demand_unmet",2038,0,"Ambitious-Baseline-Baseline-Baseline-USA Recycling","Base","(10) US Recycling"
"demand_unmet",2039,0,"Ambitious-Baseline-Baseline-Baseline-USA Recycling","Base","(10) US Recycling"
"demand_unmet",2040,0,"Ambitious-Baseline-Baseline-Baseline-USA Recycling","Base","(10) US Recycling"
"demand_unmet",2041,0,"Ambitious-Baseline-Baseline-Baseline-USA Recycling","Base","(10) US Recycling"
"demand_unmet",2042,0,"Ambitious-Baseline-Baseline-Baseline-USA Recycling","Base","(10) US Recycling"
"demand_unmet",2043,0,"Ambitious-Baseline-Baseline-Baseline-USA Recycling","Base","(10) US Recycling"
"demand_unmet",2044,0,"Ambitious-Baseline-Baseline-Baseline-USA Recycling","Base","(10) US Recycling"
"demand_unmet",2045,0,"Ambitious-Baseline-Baseline-Baseline-USA Recycling","Base","(10) US Recycling"
"demand_unmet",2046,0,"Ambitious-Baseline-Baseline-Baseline-USA Recycling","Base","(10) US Recycling"
"demand_unmet",2047,0,"Ambitious-Baseline-Baseline-Baseline-USA Recycling","Base","(10) US Recycling"
"demand_unmet",2048,0,"Ambitious-Baseline-Baseline-Baseline-USA Recycling","Base","(10) US Recycling"
"demand_unmet",2049,0,"Ambitious-Baseline-Baseline-Baseline-USA Recycling","Base","(10) US Recycling"
"demand_unmet",2050,0,"Ambitious-Baseline-Baseline-Baseline-USA Recycling","Base","(10) US Recycling"
"demand_unmet",2051,0,"Ambitious-Baseline-Baseline-Baseline-USA Recycling","Base","(10) US Recycling"
"demand_unmet",2052,0,"Ambitious-Baseline-Baseline-Baseline-USA Recycling","Base","(10) US Recycling"
"demand_unmet",2053,0,"Ambitious-Baseline-Baseline-Baseline-USA Recycling","Base","(10) US Recycling"
"demand_unmet",2054,0,"Ambitious-Baseline-Baseline-Baseline-USA Recycling","Base","(10) US Recycling"
"demand_unmet",2055,0,"Ambitious-Baseline-Baseline-Baseline-USA Recycling","Base","(10) US Recycling"
"demand_unmet",2056,0,"Ambitious-Baseline-Baseline-Baseline-USA Recycling","Base","(10) US Recycling"
"demand_unmet",2057,0,"Ambitious-Baseline-Baseline-Baseline-USA Recycling","Base","(10) US Recycling"
"demand_unmet",2058,0,"Ambitious-Baseline-Baseline-Baseline-USA Recycling","Base","(10) US Recycling"
"demand_unmet",2059,0,"Ambitious-Baseline-Baseline-Baseline-USA Recycling","Base","(10) US Recycling"
"demand_unmet",2060,0,"Ambitious-Baseline-Baseline-Baseline-USA Recycling","Base","(10) US Recycling"
"demand_unmet",2061,0,"Ambitious-Baseline-Baseline-Baseline-USA Recycling","Base","(10) US Recycling"
"demand_unmet",2062,0,"Ambitious-Baseline-Baseline-Baseline-USA Recycling","Base","(10) US Recycling"
"demand_unmet",2063,0,"Ambitious-Baseline-Baseline-Baseline-USA Recycling","Base","(10) US Recycling"
"demand_unmet",2064,0,"Ambitious-Baseline-Baseline-Baseline-USA Recycling","Base","(10) US Recycling"
"demand_unmet",2065,7.33766126369109,"Ambitious-Baseline-Baseline-Baseline-USA Recycling","Base","(10) US Recycling"
"demand_unmet",2066,24.9482619732122,"Ambitious-Baseline-Baseline-Baseline-USA Recycling","Base","(10) US Recycling"
"demand_unmet",2067,59.4995703972711,"Ambitious-Baseline-Baseline-Baseline-USA Recycling","Base","(10) US Recycling"
"demand_unmet",2068,106.050728407028,"Ambitious-Baseline-Baseline-Baseline-USA Recycling","Base","(10) US Recycling"
"demand_unmet",2069,164.396783384155,"Ambitious-Baseline-Baseline-Baseline-USA Recycling","Base","(10) US Recycling"
"demand_unmet",2070,239.707602013931,"Ambitious-Baseline-Baseline-Baseline-USA Recycling","Base","(10) US Recycling"
"demand_unmet",2022,0,"Ambitious-Baseline-High Capacity-Baseline-Baseline","Base","(2) Large Capacity LIB"
"demand_unmet",2023,0,"Ambitious-Baseline-High Capacity-Baseline-Baseline","Base","(2) Large Capacity LIB"
"demand_unmet",2024,0,"Ambitious-Baseline-High Capacity-Baseline-Baseline","Base","(2) Large Capacity LIB"
"demand_unmet",2025,0,"Ambitious-Baseline-High Capacity-Baseline-Baseline","Base","(2) Large Capacity LIB"
"demand_unmet",2026,0,"Ambitious-Baseline-High Capacity-Baseline-Baseline","Base","(2) Large Capacity LIB"
"demand_unmet",2027,0,"Ambitious-Baseline-High Capacity-Baseline-Baseline","Base","(2) Large Capacity LIB"
"demand_unmet",2028,0,"Ambitious-Baseline-High Capacity-Baseline-Baseline","Base","(2) Large Capacity LIB"
"demand_unmet",2029,0,"Ambitious-Baseline-High Capacity-Baseline-Baseline","Base","(2) Large Capacity LIB"
"demand_unmet",2030,0,"Ambitious-Baseline-High Capacity-Baseline-Baseline","Base","(2) Large Capacity LIB"
"demand_unmet",2031,0,"Ambitious-Baseline-High Capacity-Baseline-Baseline","Base","(2) Large Capacity LIB"
"demand_unmet",2032,0,"Ambitious-Baseline-High Capacity-Baseline-Baseline","Base","(2) Large Capacity LIB"
"demand_unmet",2033,0,"Ambitious-Baseline-High Capacity-Baseline-Baseline","Base","(2) Large Capacity LIB"
"demand_unmet",2034,0,"Ambitious-Baseline-High Capacity-Baseline-Baseline","Base","(2) Large Capacity LIB"
"demand_unmet",2035,0,"Ambitious-Baseline-High Capacity-Baseline-Baseline","Base","(2) Large Capacity LIB"
"demand_unmet",2036,0,"Ambitious-Baseline-High Capacity-Baseline-Baseline","Base","(2) Large Capacity LIB"
"demand_unmet",2037,0,"Ambitious-Baseline-High Capacity-Baseline-Baseline","Base","(2) Large Capacity LIB"
"demand_unmet",2038,0,"Ambitious-Baseline-High Capacity-Baseline-Baseline","Base","(2) Large Capacity LIB"
"demand_unmet",2039,0,"Ambitious-Baseline-High Capacity-Baseline-Baseline","Base","(2) Large Capacity LIB"
"demand_unmet",2040,0,"Ambitious-Baseline-High Capacity-Baseline-Baseline","Base","(2) Large Capacity LIB"
"demand_unmet",2041,0,"Ambitious-Baseline-High Capacity-Baseline-Baseline","Base","(2) Large Capacity LIB"
"demand_unmet",2042,0,"Ambitious-Baseline-High Capacity-Baseline-Baseline","Base","(2) Large Capacity LIB"
"demand_unmet",2043,0,"Ambitious-Baseline-High Capacity-Baseline-Baseline","Base","(2) Large Capacity LIB"
"demand_unmet",2044,0,"Ambitious-Baseline-High Capacity-Baseline-Baseline","Base","(2) Large Capacity LIB"
"demand_unmet",2045,0,"Ambitious-Baseline-High Capacity-Baseline-Baseline","Base","(2) Large Capacity LIB"
"demand_unmet",2046,0,"Ambitious-Baseline-High Capacity-Baseline-Baseline","Base","(2) Large Capacity LIB"
"demand_unmet",2047,0,"Ambitious-Baseline-High Capacity-Baseline-Baseline","Base","(2) Large Capacity LIB"
"demand_unmet",2048,0,"Ambitious-Baseline-High Capacity-Baseline-Baseline","Base","(2) Large Capacity LIB"
"demand_unmet",2049,0,"Ambitious-Baseline-High Capacity-Baseline-Baseline","Base","(2) Large Capacity LIB"
"demand_unmet",2050,0,"Ambitious-Baseline-High Capacity-Baseline-Baseline","Base","(2) Large Capacity LIB"
"demand_unmet",2051,0,"Ambitious-Baseline-High Capacity-Baseline-Baseline","Base","(2) Large Capacity LIB"
"demand_unmet",2052,0,"Ambitious-Baseline-High Capacity-Baseline-Baseline","Base","(2) Large Capacity LIB"
"demand_unmet",2053,0,"Ambitious-Baseline-High Capacity-Baseline-Baseline","Base","(2) Large Capacity LIB"
"demand_unmet",2054,0,"Ambitious-Baseline-High Capacity-Baseline-Baseline","Base","(2) Large Capacity LIB"
"demand_unmet",2055,0,"Ambitious-Baseline-High Capacity-Baseline-Baseline","Base","(2) Large Capacity LIB"
"demand_unmet",2056,0,"Ambitious-Baseline-High Capacity-Baseline-Baseline","Base","(2) Large Capacity LIB"
"demand_unmet",2057,0,"Ambitious-Baseline-High Capacity-Baseline-Baseline","Base","(2) Large Capacity LIB"
"demand_unmet",2058,0,"Ambitious-Baseline-High Capacity-Baseline-Baseline","Base","(2) Large Capacity LIB"
"demand_unmet",2059,0,"Ambitious-Baseline-High Capacity-Baseline-Baseline","Base","(2) Large Capacity LIB"
"demand_unmet",2060,0,"Ambitious-Baseline-High Capacity-Baseline-Baseline","Base","(2) Large Capacity LIB"
"demand_unmet",2061,0,"Ambitious-Baseline-High Capacity-Baseline-Baseline","Base","(2) Large Capacity LIB"
"demand_unmet",2062,0,"Ambitious-Baseline-High Capacity-Baseline-Baseline","Base","(2) Large Capacity LIB"
"demand_unmet",2063,2.38755882599878,"Ambitious-Baseline-High Capacity-Baseline-Baseline","Base","(2) Large Capacity LIB"
"demand_unmet",2064,18.9510166289078,"Ambitious-Baseline-High Capacity-Baseline-Baseline","Base","(2) Large Capacity LIB"
